Temp,Saturation vapor pressure,Density,hf(j),hf(cal),sh(j),sh(cal),Volume heat capacity,DynamicViscosity
C,Pa,kg/m3,kj/kg,kcal/kg,kj/kg.K,kcal/kg.K,kj/m3,kg/m.s
0,611,999.82,0.06,0.01,4.217,1.007,4216.1,0.001792
1,657,999.89,4.28,1.02,4.213,1.006,4213.03,0.001731
2,705,999.94,8.49,2.03,4.21,1.006,4210.12,0.001674
3,757,999.98,12.7,3.03,4.207,1.005,4207.36,0.00162
4,813,1000,16.9,4.04,4.205,1.004,4204.74,0.001569
5,872,1000,21.11,5.04,4.202,1.004,4202.26,0.00152
6,935,999.99,25.31,6.04,4.2,1.003,4199.89,0.001473
7,1001,999.96,29.51,7.05,4.198,1.003,4197.63,0.001429
8,1072,999.91,33.7,8.05,4.196,1.002,4195.47,0.001386
9,1147,999.85,37.9,9.05,4.194,1.002,4193.4,0.001346
10,1227,999.77,42.09,10.05,4.192,1.001,4191.42,0.001308
11,1312,999.68,46.28,11.05,4.191,1.001,4189.51,0.001271
12,1402,999.58,50.47,12.06,4.189,1.001,4187.67,0.001236
13,1497,999.46,54.66,13.06,4.188,1,4185.89,0.001202
14,1597,999.33,58.85,14.06,4.187,1,4184.16,0.00117
15,1704,999.19,63.04,15.06,4.186,1,4182.49,0.001139
16,1817,999.03,67.22,16.06,4.185,1,4180.86,0.001109
17,1936,998.86,71.41,17.06,4.184,0.999,4179.27,0.001081
18,2063,998.68,75.59,18.05,4.183,0.999,4177.72,0.001054
19,2196,998.49,79.77,19.05,4.182,0.999,4176.2,0.001028
20,2337,998.29,83.95,20.05,4.182,0.999,4174.7,0.001003
21,2486,998.08,88.14,21.05,4.181,0.999,4173.23,0.000979
22,2642,997.86,92.32,22.05,4.181,0.999,4171.78,0.000955
23,2808,997.62,96.5,23.05,4.18,0.998,4170.34,0.000933
24,2982,997.38,100.68,24.05,4.18,0.998,4168.92,0.000911
25,3166,997.13,104.86,25.04,4.18,0.998,4167.51,0.000891
26,3360,996.86,109.04,26.04,4.179,0.998,4166.11,0.000871
27,3564,996.59,113.22,27.04,4.179,0.998,4164.71,0.000852
28,3779,996.31,117.39,28.04,4.179,0.998,4163.31,0.000833
29,4004,996.02,121.57,29.04,4.179,0.998,4161.92,0.000815
30,4242,995.71,125.75,30.04,4.178,0.998,4160.53,0.000798
31,4491,995.41,129.93,31.03,4.178,0.998,4159.13,0.000781
32,4754,995.09,134.11,32.03,4.178,0.998,4157.73,0.000765
33,5029,994.76,138.29,33.03,4.178,0.998,4156.33,0.000749
34,5318,994.43,142.47,34.03,4.178,0.998,4154.92,0.000734
35,5622,994.08,146.64,35.03,4.178,0.998,4153.51,0.00072
36,5940,993.73,150.82,36.02,4.178,0.998,4152.08,0.000705
37,6274,993.37,155,37.02,4.178,0.998,4150.65,0.000692
38,6624,993,159.18,38.02,4.178,0.998,4149.2,0.000678
39,6991,992.63,163.36,39.02,4.179,0.998,4147.74,0.000666
40,7375,992.25,167.54,40.02,4.179,0.998,4146.28,0.000653
41,7777,991.86,171.71,41.01,4.179,0.998,4144.8,0.000641
42,8198,991.46,175.89,42.01,4.179,0.998,4143.3,0.000629
43,8639,991.05,180.07,43.01,4.179,0.998,4141.8,0.000618
44,9100,990.64,184.25,44.01,4.179,0.998,4140.28,0.000607
45,9582,990.22,188.43,45.01,4.18,0.998,4138.75,0.000596
46,10085,989.8,192.61,46,4.18,0.998,4137.2,0.000586
47,10612,989.36,196.79,47,4.18,0.998,4135.64,0.000576
48,11161,988.92,200.97,48,4.18,0.998,4134.06,0.000566
49,11735,988.47,205.15,49,4.181,0.999,4132.47,0.000556
50,12335,988.02,209.33,50,4.181,0.999,4130.87,0.000547
51,12960,987.56,213.51,51,4.181,0.999,4129.25,0.000538
52,13612,987.09,217.69,52,4.182,0.999,4127.61,0.000529
53,14292,986.62,221.88,52.99,4.182,0.999,4125.97,0.000521
54,15001,986.14,226.06,53.99,4.182,0.999,4124.3,0.000512
55,15740,985.65,230.24,54.99,4.183,0.999,4122.63,0.000504
56,16510,985.16,234.42,55.99,4.183,0.999,4120.94,0.000496
57,17312,984.66,238.61,56.99,4.183,0.999,4119.24,0.000489
58,18146,984.16,242.79,57.99,4.184,0.999,4117.52,0.000481
59,19015,983.64,246.97,58.99,4.184,0.999,4115.79,0.000474
60,19919,983.13,251.16,59.99,4.185,0.999,4114.05,0.000467
61,20859,982.6,255.34,60.99,4.185,1,4112.3,0.00046
62,21837,982.07,259.53,61.99,4.186,1,4110.53,0.000453
63,22854,981.54,263.72,62.99,4.186,1,4108.75,0.000447
64,23910,981,267.9,63.99,4.187,1,4106.97,0.00044
65,25008,980.45,272.09,64.99,4.187,1,4105.17,0.000434
66,26148,979.9,276.28,65.99,4.188,1,4103.36,0.000428
67,27332,979.34,280.46,66.99,4.188,1,4101.54,0.000422
68,28561,978.78,284.65,67.99,4.189,1,4099.71,0.000416
69,29837,978.21,288.84,68.99,4.189,1.001,4097.88,0.00041
70,31161,977.63,293.03,69.99,4.19,1.001,4096.03,0.000404
71,32533,977.05,297.22,70.99,4.19,1.001,4094.18,0.000399
72,33957,976.47,301.41,71.99,4.191,1.001,4092.31,0.000394
73,35433,975.88,305.6,72.99,4.192,1.001,4090.45,0.000388
74,36963,975.28,309.79,73.99,4.192,1.001,4088.57,0.000383
75,38548,974.68,313.99,74.99,4.193,1.001,4086.69,0.000378
76,40190,974.08,318.18,76,4.194,1.002,4084.8,0.000373
77,41890,973.46,322.37,77,4.194,1.002,4082.91,0.000369
78,43650,972.85,326.57,78,4.195,1.002,4081.01,0.000364
79,45473,972.23,330.76,79,4.196,1.002,4079.11,0.000359
80,47359,971.6,334.96,80,4.196,1.002,4077.2,0.000355
81,49310,970.97,339.16,81.01,4.197,1.002,4075.29,0.000351
82,51328,970.33,343.35,82.01,4.198,1.003,4073.38,0.000346
83,53415,969.69,347.55,83.01,4.199,1.003,4071.46,0.000342
84,55572,969.04,351.75,84.01,4.2,1.003,4069.54,0.000338
85,57803,968.39,355.95,85.02,4.2,1.003,4067.62,0.000334
86,60107,967.73,360.15,86.02,4.201,1.003,4065.7,0.00033
87,62488,967.07,364.35,87.02,4.202,1.004,4063.78,0.000326
88,64947,966.41,368.56,88.03,4.203,1.004,4061.85,0.000322
89,67486,965.74,372.76,89.03,4.204,1.004,4059.93,0.000319
90,70108,965.06,376.96,90.04,4.205,1.004,4058,0.000315
91,72814,964.38,381.17,91.04,4.206,1.005,4056.08,0.000311
92,75607,963.7,385.38,92.05,4.207,1.005,4054.15,0.000308
93,78488,963.01,389.58,93.05,4.208,1.005,4052.23,0.000304
94,81460,962.31,393.79,94.06,4.209,1.005,4050.31,0.000301
95,84525,961.62,398,95.06,4.21,1.006,4048.39,0.000298
96,87685,960.91,402.21,96.07,4.211,1.006,4046.47,0.000295
97,90943,960.2,406.42,97.07,4.212,1.006,4044.55,0.000291
98,94301,959.49,410.64,98.08,4.213,1.006,4042.64,0.000288
99,97760,958.78,414.85,99.09,4.214,1.007,4040.73,0.000285
100,101325,958.05,419.06,100.09,4.216,1.007,4038.82,0.000282
101,,,422.87,,,,,
102,,,427.09,,,,,
103,,,431.32,,,,,
104,,,435.54,,,,,
105,,,439.76,,,,,
